Post,1Comment,2Comment
"Aside from breathing, meditation, journaling and ultimately a benzo which I hate to rely on, is there any holistic gummy or non addictive substance that soothes. I’m going through hell on this earth and so tired of waiting for CBT and meds to get straightened out. I don’t sleep and I can’t take it.",Substances are only bandaids Sadly... You want to Get out of Your Hell... Then You have to Face your fears and The trauma That began Your Suffering 🙏. It'll be worth it in the end... Just remember there is nothing wrong with you and your not broken despite what society says... You always have been perfect as you are x,🤔 have you tried putting a Bluetooth speaker next to your bed and through your phone using sleep meditation music?
"Guys, I'm not just tired but exhausted & am honestly on the verge of giving up all together but my babies are my entire universe & more so I'm seriously trying my best to keep trying & swallow my pride no matter how bad I don't want to..I gotta remember it's for my babies & if it wasn't for them I wouldn't be putting my pride aside to get some help. We're barely able to eat let alone keep our blankets & stuff as clean & okay as I can. 

I'm making this post to hopefully get anyone & everyone to send my babies & I all the good vibes, prayers, whatever it is you do, please send them all my way. I've been doing my best to get us off the streets & it's been so much harder than I ever thought possible. Everything is always full or out of funds or just can't help & I'm going insane sleeping outside with my 4 & 2 year olds. I'm SO INSANELY close to getting us a room for a month with actual beds & clean blankets, & a bathroom which I have missed so so much & will never take it for granted ever again!! & to top it all off my beautiful mama's parkinsons is progressing so fast for her. 

Sorry for the rant guys and pretty please don't forget to send any good vibes or prayers for us to get the room asap or even some food, diapers, & wipes ♡♡♡",Whereabouts are you?,🙏🏻
I'm in so much pain can somebody just reach out.😭😭,I’m here for ya & up right now,🙏🙏🙏
"Its urgent. Im not feeling well. I had mild depression for a week now. But now it is a full blown major depressive episode. It all precipitated when i asked my newly married sister, who i am very close with, that i wanted to visit her and idk she didnt sound very eager to welcome me (or atleast thats what i perceived). I hung up and I stopped answering her calls and messages. I dont feel good at all. I have nobody to talk to.",I think the answer is within your own Words... As you know we all have Our own problems going on and maybe they have their own also and Are thinking of you and if you visiting would make you feel worse... Talk to them stop avoiding them if you want to feel better,"1. Once married things are different. 
2. Her lack of eagerness could be because of other issues irrelevant to you.
3. What if you talked to her and asked if she had a problem or something going on."
"I need advice 

Befofe you accuse me of me being gross accuse past me cause I lost touch with this person for two years now but I can’t help but think back on it cause it was such a silly and possibly disgusting thing 

So two years ago I was friends with someone on discord 

We originally met on messenger with our bond over anime 

She was 17 and I was 25 and you do the math of how old we are today 

Eventually our friendship grew strong before the fall 

But the age difference was very off putting not just number but mind wise 

Yes we’d have fun having discord watches with watching animes and cartoons cuz we bond over those but yet we’d fight a lot 

I still cant believe up to this day I was friends with a minor… 

Was I gross and disgusting committing this act? 

Be real 

Cause like I wanna know 

I think I was 

But I’m curious what other people think 

Like there was nothing innapropriate we were just silly and bonding over anime and cartoons",So this person was a friend no big deal wot so ever,10 year's up 10 year's down is my limit  but we are all different and should make our own rules so what i say is not what you say so 95 year old and 15 year old is correct to what they say . It is what it is ok 👍  👌
,Mint 👌😉💪🙏😇,13yr pushing buttons but thankfully me and hubby are a partnership when it comes to one of our kids having a melt down. I can remember how frustrating it can be at that age. She has the gift of the gab like me but wow she’s so much smarter than me. But not the life expectancies. She’s lost her electrical till Monday. But all good here 🤦‍♀️🤷‍♀️😂
Have you ever been in one of those moods where you just want to grab everything and rip it from the walls and break everything because you feel broken and you want to scream and kick and cry because nothing feels right and it’s all wrong and you don’t feel right and I don’t know. Yep,I have in the position when I am crying out for help and no one was listening I felt all alone in a desert screaming as loud as I can  I finally got someone to hear me I feel cautious but I am getting hesrd,24/7
"New to group, been struggling for a while with family,but this week had emergency visit south to see family, then 24hrs later my kitten got hot by car outside of vet hours,hebis ok , had surgery today, saved his leg, have last minute psychology appointment with waited a year for as they phoned yesturday and offered for today sonot going to turn it down, went better than expected but im on edge, fight or flight and struggling,  tonight asked husband to cuddle me on sofa and i just cried",You sound like you have a good supportive husband you sound overwhelmed it’s time for you to take time for yourself what do you like to do? It can be anything something small I like to color with gel pens this keeps focus and calm and my anxiety at a low level,"A cuddle helps so much!!!!
At least you have that
I try hard to find the hood and happy things to dwell on it helps
A walk by water or in the wind too helps me
I have bad bad days I stay in bed but I try to seek happiness
I smile at passers by
That’s a good thing they usually smile back
😁💜"
"I’m really struggling with my mental health right now. I find it hard to open up to anyone. I’ve tried in the past and been told that im strong enough to cope with anything or just blatantly shut down and told im being stupid and to get over it. Im alway there for everyone but it feels like I have no one there for me. I feel like im going to explode, it’s the last thing I want to do. I’ve been holding things in for so long now. The thing is, I don’t even know why im feeling like this so I don’t know what I need to fix to make it all better and go away. How can I feel this low and not even know why? Im so tired.",Hey,A day survived is a day closer to survival
"So I get to speak to a new doctor tomorrow and I am hoping they listen. I was told I have BPD aswell as a whole bunch of other stuff but I think it's something different like bipolar. 
There is no medium with me. I am extremely high and then extremely low. I get very defensive when I am high which is a natural reaction I have. My other problem is alcohol because I have used it as a coping mechanism and it has destroyed me in the process. I am going to ask for medication for that too. If I had money I would walk away from the life I have now and hope that a fresh start would help me be better and save the heartache I cause to those around me. But that isn't the answer.","Have you tried AA groups? It could help with the alcohol and maybe help with symptoms from the mental health diagnosis. I have known a lot of people in recovery that created new beautiful lives through that program. But it takes time, effort, consistency, etc. Wishing you well my friend. 🙏🙏🌷🌷","A diagnosis is a good start and at least get you with people at some point, if you think diagnosis doesn't quite fit find the one that will listen but definitely get heard."
A great way to help with your mental health is to close your eyes and imagine you’re at the beach. The skies are beautiful. The wind is calm and the waves are soothing to you.,"I do this when it's sunny out. Lol 
People think I'm crazy. Oh well.",A good tip. Mindful visualisation with use of the senses :-)
,I was in your place a long time ago all I can say God was watching over me and he is watching over you it took a lot of therapy a lot of tears it has been a long road but guess what it got better it doesn’t seem like that now but you will too get people around you family or friends that will support you,A lot of good causes out there to help others
"Mom here of a 25 Bipolar son, he has been hospitalized since Saturday after a car accident due to drugs and manic episode.  

Got a call today from nurse. Asking me questions regarding my son's mental health history.  
One question or comment upset me. 

She asked if my son was abused, he claimed he was abused by me physically.  I started to cry, it broke my heart to think his mind is so sick righr now that he is accusing me of abuse. 
I never abused my son, me turning off the wi-fi was the worse thing I have ever done. He never gave me a reason to hit him or even yell at him till he was abour 17 yrs old. 

My heart hurts for him and i am sad 😔","Ehh 
In some cases people can imagine things that are not real. Can even place them precisely in their lifetime.
You know that you did no wrong to him. Just stay strong and keep trying to help your son. 
I strongly believe that everything will be fine eventually:) 
Yes it's extremely hard but you will do it",A manic episode can trigger all sorts of imagined and delusional thoughts
"Hi 
Can admin send me a dm ? 
We have a scammer onboard 🤣",Happy to help. Send me a message. 👍,A Scammer? On a Facebook Group ? Absurd
"I am struggling and need support.  Lots of stuff going on at home
Which is only temporary but I think the stress and not being able to have any alone time right now  is definitely affecting my mental health. I have been feeling so depressed lately and I am just having a hard time dealing with it.  I do much do like how I am feeling.",Thanks for sharing your struggle. Feeling depressed is a v lonely place to be at.  Do u have any supportive friends?  are u looking for professional  help?,"A situation at work is making me depressed & anxious, there isn't anything I can do apart from wait & see what happens & hope things get better. Hope things get better for you."
,,A small selection!
I learned to count on me ....,Snap,Absolutely
I hope this quote which is sent with love and best wishes will help someone who needs it today 😊❤️XXXXXXX,Thank you for the beautiful reminder! Smiles are contagious and can brighten someone's day more than we realize. Let's keep spreading hope and positivity through our smiles. 😊,Absolutely
"OK tell me if this sounds crazy but my daughter sees hears ans feels things in her room she's always saying she hears voices in her head ... I was cleaning her room tonight before she comes home tomorrow ans her dog was up there with me and she started wagging her tail ans cocking her head like someone was talking to her. .
Could it be possible my daughter isn't hearing voices in her head but it's the spirits or whatever she's hearing seeing and feeling ?",Get a medium in your home and they will tell you for sure,"Absolutely! It's entirely possible that your daughter is perceiving the presence of spirits or entities in her room. Children are often more sensitive to energies and can pick up on things that adults may not be aware of. The wagging tail and cocking of the head by her dog could indicate that there was indeed some form of communication happening. If you're open to exploring this further, you may consider reaching out to a spiritual counseling expert or a psychic medium who can help you understand and navigate these experiences. They can provide guidance on how to support your daughter and address any concerns you may have."
What is one piece of advice you would give someone who needs to improve their communication skills?,Listen or start with baby steps,Accept help
Just not happy with myself anymore always constantly feeling down and always arguing with my parents over stuff I can't control. There always mad at me never proud or anything like that. I don't want to go down a route I only just went down and know its wrong. Sorry for posting,Having had a tough time with my mum I understand nothing I ever did made me feel better…. Left as soon as I could … today well both parents gone miss my dad and having family but so much I don’t miss!!!,Aces Init  I am sorry to hear you feel that but I am glad you felt comfortable sharing. Feel free to share more or to reach out in case you need someone to listen to you
I need someone to talk to. I’m not feeling good at all       😔😔😔,Hi,Add me up
"My partner of 5 years is struggling really bad with ptsd and depression, hes in his 40s now,  suffer physical abuse and mental abuse all his life, he wants a job want to get back on his feet, he gets a job and instead of talking to them he just doesn't go back, he lives with his parents ( where the abuse is ) we cannot live together at the moment due to my commitments. Hes hitting his addiction hard. Hes says he pushes people away and doesn't mean it, but the stuff he say hurts me so bad like he doesn't want to be with me. ( might move to london sleep in my car, or i might get bang up. I see both side, i suffer from anxiety and depression so i get it and try to support him hes not eatting or sleeping, he refused medication and refuse help and advice from me. I dont know whay else i can do, live with it or walk away, i dont want to walk away. And i never put a man down when hes feeling down.","Put you first
Make a good vs bad list see how that ways out 
Go with your Gut 
Be safe stay strong make a  safety plan","Advocate for self-care practices, like getting enough sleep, eating well, and engaging in activities that bring joy. These small steps can have a positive impact on mental health."
"For once my life is going reasonably well , so why am I feeling as flat as a pancake, spending to much and eating to much ! Ug !","Well think you hit the nail on the head there with eating.....  Eating is a habit, and a lot of the time, an emotional habit. Our lives may be going well but as your post suggests, your life 'usually' doesn't go well...so even tho it's ok now, you're just waiting for the downturn to reappear, hence the (possible) anxious, comfort eating. And that's a perfectly normal response. 

If you were to analyse and recognise, that is what you are doing, and you understand it is NOT because you are hungry - then you can take steps to change that eating habit. 

Maybe put your shoes on and walk around the garden a few times, or to the end of the street and back, or start to jog...

It is well recognised that there is a link between mental health and physical well-being, and when we suffer mentally we don't exercise as much or take care of our bodies needs. By doing just 20 minutes of walking where you're not on your phone, or walking to the shops or pick the kids up - will increase your physical well-being and help you gain confidence in your decisions and life choices, and of course, just help you feel good in those moments when things are going well ❤️‍🩹","After long time stress situations your body need more food due the fact he has been over loaded and it is normal to fill flat ,  becaause you over worked mentally your body need regain energy"
"Hey, really need some support. At work they keep moving our room around (I work in childcare) and literally completely changing the whole layout of the room and it’s really upsetting me. It’s making me feel so on edge all the time and I’m scared to go into work Incase it’s changed again. I don’t know if it’s Because I was on holiday when the changes happened and I’m normally the one who does the changes that management want to make so it doesn’t effect me as much because I’ve done it but since coming back I just want to leave because I can’t cope with the changes. I’ve never ever felt like this before but it’s actually making me feel sick that I don’t know where anything belongs anymore! Can anyone give any support on this?","My advice is to communicate to your directors that the layout of the room and your ability to positively control the environment is foundational to your role.

I would communicate respectfully that it is stressful having the environment in a state of flux.  

Many people perform better in a static, rather than dynamic workplace, so don't be too hard on yourself.  I think this is a common experience among people.

I can empathize.  I've felt this way before.

Last bit of advice is concentrate on the kiddos and the things you can control.

Don't ruminate on the things you can't control and ultimately, remember that control is an illusion.","Agree that communication will be central, and I also found it interesting that you mentioned you hadn't felt like this before. Is there anything else going on for you at the moment? Or have you have a negative experience with change in the past?"
"Please can we remind @everyone that comments which are only containing external links to medication & or remedies will be removed. 

This also includes ‘fake comments’ to engage with the Poster & then direct them to (mostly) Instagram accounts for remedies etc. 

Our group is based on trust and honesty not fake comments. 

Thank you.",It's a joke Dr dosnt give a dame till it to late,Agreed
Night time anxiety really sucks. 🥺🥺,learn some breathing techniques. there are videos on YouTube called box breathing.,Agreed
"📌Having stress , crying your heart out and came out stronger is another kind of happiness

Anyone else feel th same like me..",Yes agree,Agreed  but the cultural system is making us more depressed because its hard to be in 2 cultures  the pressure is too much
"I moved to Scotland to live with a friend who has kicked me out after a week due to her boyfriend moving in. 
I am now.homeless with noone who can help and nowhere to go, does anyone have any suggestions? I will go absolutely anywhere in the UK I have nowhere I need to be. I just need help with housing and working again. Please before I try something I regret someone sign post me. My mental health is awful so please help",Google local housing support place for temporary housing not sure where about u r or who tbat would be in Scotland.,all i have to say is take advantage of homeless shelters. as they should be able to help with resources to find stable housing. and maybe support you in finding a way to get a job or help you get on financial assistance with the government.
Happy Xmas eve all alone,"Happy Xmas eve🌟 Alone too, alone is ok",All I well say is u never know what may pop up though I'd prefer another option it may be ok. And yummy we got a semi last minute suprise invite to lunch
"Hi everyone, has anyone ever trusted a friend completely and been hurt by them quite a few times 😥
Love and best wishes 
XXXX","Yep I have I’ve been hurt by 2 ppl I classed as family I don’t think I’m a bad friend I listen and try my best to help
Xx","All my friends abandoned me, mostly for no reason, now I rely on stranges online as it's impossible for me to make friends out with my anxiety"
Do anyone here suffer with overthinking and trust issues in a relationship?,"Yeah, I can't trust my parents how can I trust someone whom I don't know or very little time. My Support said it because of my past brutal experience of abandonment by parents. I am working on it but still in process.","All the time , I've been with my husband for 24 years and I still don't trust him fully , when you've suffered trauma and had your trust broken so many times it's a defence mechanism to not trust anyone that way you won't get it broken again. When the voices start I have to try and remember that they are not real and not to act on them. I definitely overthink everything it's part and parcel of my mental health. These days though I try to be rational rather then act on my overthinking"
"My heart is broken. My son, he is 16years,  struggled his hole life to fit in!!!!.... No one understand him, didnt came right in any schools. Yes he did wrong, he crossed the thin red line of doing wrong. But that is all every one see's. no one know the struggle he had his whole life. i had him by docters since he was 4years of age. For 12years we walked a road of horror. Finally they diagnosed him after a cased was opened against him. He is taken away from me to be treatend at a mentally unit for 6months. The pic is what hes been diagnosed with. No one listened to me from the beginning to help my child, drs just didnt care. They didnt warry about how he was treated at schools, how he thought, how he cried at night, anxieties he had, i plead for help and all they did was lower or changed meds. Now he is taken away from me and it feels like i lost my child. How must i go on, not being with him. Even he doesnt understand what is happening to him... I miss my child so much.",Oh that’s disgusting what they are dojnf to him it doesn’t matter what he did no one was there for him. Wow is thee a way to get him out of there bc this is not cool he needs to be loved and cared for,Also don't have much living nearby or connected family in this small family as radio songs I ll be loving u
I am looking forward to going to go back to my singing group which are people just like us so my illness has be a long time on and off but the people that my group do help me very much,Follow your dreams always,Also it is good that I have a dog as they are far better than some people
"Some times I hate my life and I feel like I'm going round in circles 😭 here's why since 2017 I've been hearing voices and it's not wot you think, i hear them every waking moment of every day some times they keep me awake and some times they wake me up and the mental health team won't help me they know that I hear voices and so does my gp ( doctor ) but all my gp can do is refur me bk to the mental health team my gp tried 3 times last year and each time the mental health team refused me 😡 ( trigger warning ⚠️ ) my left arm looks like a bar code and I hate doing it bcus that 💩 hurts but I do it bcus I'd rather hurt myself than anyone else i hate that most days i wake up anxious and depressed meaning I'm stuck in bed or if I've made it to the sofa I'm stuck there most days i have to force myself to go out and get food which is pot noodle or crisps or both i know it's not gd for me but it makes it easier for me to be out bcus I'm only getting that I'm not out for long bcus i can't be around people for to long or I'll end up having suicidal thoughts and hallucinations and the last time that happened was last march as i was put in bcus of a fire that happened in a flat directly below me i lost everything 😭 wen i moved to where I am now i was depressed for 6 months during that time I'd contact my gp for help but all she cud do was try and get me to see the mental health team I'm not sure why the mental health team won't see me bcus they won't tell me why they didn't even give a reason to my gp wot so ever I've not spoken to my gp bcus wots the point so I keep myself to myself and wot makes it worse is i need to see a dentist but there are no longer any dentist that are taking on NHS patience anymore 😡 as they've all gone private which is bloody annoying I'm also on pip but for how long is anyones guess bcus of January this year i got a pip review form from the dwp that I had to fill out myself bcus i didn't want to wait as I wanted it over and done with as soon as I did the form I sent it off then in February i get a text from the dwp about my pip review form only to tell me that they've got it this has been going on now for 6 months now I've still got my pip but the wait is doing me in big time and also stressing me out.","Oh hun. I felt like that when I was really poorly last year, like no one was listening but i was so poorly I couldn’t make sense of it all but part it was my frustration with being Ill and my impatience (this was my experience not saying it’s the same for you) . I kept going in circles, i would copy and paste this post and email it to the crisis team along with any thing else . if you feel at breaking point my love . I wrote all my feelings and symptoms in one  place and they came the next day, they signposted me to a self harm group etc xxxx","Also unfortunately I had a horrible time sorting out u/c and pip .. they need some specialised training in mental health conditions and sort their shit out, appalling system and service. I sent a complaint and it wasn’t even acknowledged. Dealing with them actually contributed to me getting worse: xxxx"
When ur at work at the hospital and ur kid shows up with officers cause of her mental health and needs to be admitted,I've seen that happen whilst I was still working.,"Also, (almost 30y ago) I confessed to a GP that my work stress, anxiety and depression were so bad at that point that I wished that I could go to sleep and never wake up.... He suggested a little break for assessment and rest..... where I was working at the time. I did laugh, explain the situation (I was being bullied by another staff member), and he concluded that my mental state was perhaps not as dire as he'd 1st thought since we were both amused by the irony and laughing like idiots."
Hi everyone I'm new my mental health is really playing up and I feel very very down at the minute I have suffered with depression since I was 16 I am now 38 years old,I'm sorry you are having this bad experience. Have you had professional support? Are you depressed all the time or is it seasonal affective disorder? I hope you will find peace and happiness,Always here if you need to talk! I have suffered since my early 20’s and am now 41. The last couple of years have been better than the ones before it.
Is anybody awake to message? I need an advice,✋✋✋,Always here xx
Am just needing advice pls for my sleep doc put me on matazapine for sleep 30mg at night a depression helping with depression been on it 10days but not helping with sleep at allany advice as i am not sleeping av read 15mg is for sleep but not fir depreshion anyone on this med can help pls,Never stop fighting for your mental health. You are worth it. ￼,"Am coming off them
Day 3 and I feel so awful my heart rate feels so fast and am breathless"
I need someone I can talk to I’m so tired of struggling on my own x,"So sorry dear, how are you now",Am done my doctor retired two years ago and I have no health insurance to get meds . And doesn't really matter when I lose my home it will be the end any way so all well life is like its not worth anything any more !
So on Tuesday I stopped mirtazapine 45 mg after been in the since 2019 and was put on amitriptyline  I feel so I’ll fast heart rate breathless and my body is painful how long will the withdrawal last,Am feeling ok. Now but I’ve got heartburn and my heart rate felt fast,Am fine now the symptoms have went
"How do you know if a therapist is right for you?
I'm a young professional who has been struggling with anxiety and stress for quite a while. There's quite a lot of mental health related info online that I find overwhelming. Is anyone on here willing to have a call with me about what to look out for to find the right therapist?",I would love to have a conversation with you hun,"am in theripy,and dont know know what to tell you!"
I recently broke up with my girlfriend and man it’s fucked me over big time with my mental health I live with my sister and her fiancée while my mother is soon to move 8 hours away from where I live I am struggling so hard as iv asked her to move in at first she was okay with it then she said it’s not possible I feel so low and depressed and constantly getting hate from people I feel the this world is out to get me 😭 all I want is to try and get all the help I can get as I think it’s getting to the point I am suicidal iv been having thoughts 💭,"It's up to you making the changes though, that's why folk can only do so much to help. Have you booked a counsellor with your doctor?","An ex is an ex for a reason hun. It's hard to get over that roller coaster of the breakup. You deserve happiness and so much better than you had before. See your Dr. Write a diary of how you feel to help you digest what's going on fully. Works a treat for me and I re read them when I'm in a better mood and make notes in a different colour pen. Different day, fresh start and different perspective sometimes help. Stay the course hun. You have so much more ahead of you that's well worth this struggle. You'll come out stronger and a better inner self. Xx"
Can anyone on my friends list see if i post on here?,If you want to post you can make it annonomous that way it could be anyone in the group and they won't see it. I also doubt they would cos its a private group(I think),And I love you both!! Love mum xxx
"A lot of ppl don't understand depression ,it's a dark place.","💕🙏💕 

Very dark but I promise there is light somewhere ... just keep going ￼",And it’s tough when people don’t understand what you are going through
I’ve been diagnosed with bipolar disorder and depression ADHD since the early 90s,you can get true this ☝️🙏🏼,And that’s absolutely okay!
Does therapy work cause I want to go but I feel my family and friends will say that I have no reason to go.,"Your family and friends are not living your life. If you feel you need it, go for it!","And yes, it does work with time. Of course it requires hard work from your part."
Hoping you lovely people had a good day today?,Same as x ,And you ❤
,It's long road,And you are well prepared in order to appreciate 🙂
"Do you see the girl rotating clockwise or counterclockwise? Answer in comments.

Answer below: 👇

If you see the girl rotating clockwise, then you are using the right hemisphere of your brain at the moment, and vice versa.

The right hemisphere represents people with artistic flair. The left hemisphere instead is linked to rationalism and generally organized mathematical thinking.

Credit: https://www.learning-mind.com/4-mind-blowing-personality-tests-pictures/",Clockwise .,Anti
"Its confirmed, a minimum 3 weeks lockdown. How are we feeling?","Everything can be worse, so I accept and try my best 😊",ANXIETY REALLY BAD TODAY
"So I have anxiety, depression & OCD all of which affect every aspect of my life. My manager has told me recently that I need to be more confident. I don't want to tell them about my mental illness but at the same time I don't want them to think I'm not performing my job to the best of my ability. Any tips? Should I just come clean?",Keep grinding and wall tall. You got this 💯,"Anxiety, depression and OCD are not a mental illness but the result of life events, usually involving rejection, trauma, shaming and violence in different forms and leads the person to conclude that he or she is worthless, useless, helpless and unworthy of love. OCD usually is a coping mechanism to restore some sense of control. These feeling signal the need to adress and heal these issues and there is help for that. Listen to these messengers, they are trying to help you."
M upset cos I failed yet another job interview yesterday. It was for a programming job and the guy said that it too senior for me even though iv got an honour's and master's degree's in computer science and done software engineering internship. What more do they want?! What's wrong with me?! It's been over a yr now since iv had an I.T job and 4 months since iv had another job. No one wants to hire me 😢 feel like my life's not worth living  😢,I know you feel rejected but hang on the Lord has something special out there for you congratulations for going to college and getting  a masters degree be proud,"Are there any small local charities you could volunteer with to help them with it, websites etc.  This sort of thing would show current interest and use of your skills whilst helping yourself and others.  Always looks good to employers"
Just starting to feel better better about myself i started talking to what i thought was a nice female sent the last couple of days talking and getting along well with abit of small flirting i was feeling good about the direction it was heading then from out of the nowhere i got a message saying there is no future for us . And again now ive hit rock bottom and feeling completely useless and used  . Ive just had enough im feeling like every body i start to care about just wants to hurt me im sat here in tears and back to feeling alone useless and used,Just stick to friends. Share yourself out a little. Too much for one person. Join clubs,Are you a male or female? I am saddened to hear this. It cannot be nice. They say that actions speak louder than words. I would go on by what they do and not what they say but I do not like that when and if that happens either as it can cause mental distress as well as upset and it can also leave you wondering why.
Had a very scary moment last night took a whole lotta of pills and then fell asleep. I wanted to go peacefully. But got woken up like someone (probably my guardian angel(Mom)) kicked me really hard in the stomach. So then I drove to the nearest hospital and bern here ever since the,Been there. Hoping things improve for u,"Are you better now, I wish you get better soon. Take care, buddy."
What should I do? My wife seems to care more about her gadget than me.,Love her or live her or consult with people who had given you your wive if that is the case,"are you booking places to go, do you have plans each week, have you got a holiday booked, keeping busy together is the key"
