commentsCount,topComments/0/date,topComments/0/text,topComments/1/attachments/0/0/__typename,topComments/1/attachments/0/0/is_playable,topComments/1/date,topComments/1/likesCount,topComments/1/text,text,sharesCount,title,likesCount
4,2023-11-10T14:15:47.000Z,"If you're struggling reach out to west_tripsx on IG, wait for his recommendations & guidelines on mental illness we're the best",,,2024-01-10T09:35:42.000Z,0,"My son is diagnosed with severe ADHD, ASD, autism and has defiant behaviors which are very unbearable. Someone directed me to myco_ebby on IG. Now my son has been on the full spectrum THC free cbd gummies for about two months. No side effects. He eats like a champ and even sleeps great, there’s been improved focus and the meltdowns barely happen. It's worked really well for him. He says he feels better when he's on his gummies than when he's not and they last well over 8 hours, just in time for the second dose. Before that, we had tried Vyvanse and Strattera with poor results and lots of side effects. We get it from myco_ebby on insta, it’s worth a shot.","Hyperbaric oxygen therapy:
Please share your experiences post Hyperbaric oxygen therapy for ADHD … does it have a positive effect  on ADHD and if so is it long lasting?",0,,1
1,2023-10-21T18:00:03.000Z,Well done D.K 👏,,,,,,"Goeie naand, ek is nuut op die groep.  My kleinseun Martin (12) wat gediagnoseer is met ADHD, het onlangs opgetree as gasspreker in die Wes-Kaap om bewusmaking te skep oor ADHD en hoe kinders dit ervaar.  Dk deel graag die koerant berig met julle. Hy het ook 'n radio onderhoud gedoen",0,,7
5,2024-01-10T09:39:43.000Z,+234 802 508 2618,,,2024-01-10T09:39:45.000Z,0,"My son is diagnosed with severe ADHD, ASD, autism and has defiant behaviors which are very unbearable. Someone directed me to myco_ebby on IG. Now my son has been on the full spectrum THC free cbd gummies for about two months. No side effects. He eats like a champ and even sleeps great, there’s been improved focus and the meltdowns barely happen. It's worked really well for him. He says he feels better when he's on his gummies than when he's not and they last well over 8 hours, just in time for the second dose. Before that, we had tried Vyvanse and Strattera with poor results and lots of side effects. We get it from myco_ebby on insta, it’s worth a shot.","Hello guys, is there anyone who has used otc medication or any home remedies that helped to sooth concentration and focus issues associated With ADHD. 

I can't afford to go to a private psychiatrist and can't afford the medication or GP and I have tried going to public clinic and hospitals, but they couldn't help me.

The reason I am asking for help is that I am going to be starting TVET College on Monday and I don't want to fail again.

I am a 24 year old female. Thank you",0,,4
6,2023-10-17T04:28:57.000Z,Dr Aminah Bahm is uitstekend,,,2024-01-10T09:35:48.000Z,0,"My son is diagnosed with severe ADHD, ASD, autism and has defiant behaviors which are very unbearable. Someone directed me to myco_ebby on IG. Now my son has been on the full spectrum THC free cbd gummies for about two months. No side effects. He eats like a champ and even sleeps great, there’s been improved focus and the meltdowns barely happen. It's worked really well for him. He says he feels better when he's on his gummies than when he's not and they last well over 8 hours, just in time for the second dose. Before that, we had tried Vyvanse and Strattera with poor results and lots of side effects. We get it from myco_ebby on insta, it’s worth a shot.","Mammas met kinders wat 
ADHD 
Autism 
En Disleksia het.

Kan Jul my dalk sê Wie die beste specialist is om jou kind na toe te vat.

Iemand wat 'n mamma ook Kan Leer hoe om haar Wie kind te help.",0,,0
1,2024-01-10T09:40:45.000Z,"I watched a documentary on Netflix “Change your mind” and decided to try micr0dosing  on psilocybin capsules and it helped me with my anxiety,  depression , PTSD, BPD, ADHD and other mental health issues. I haven't had a bad day in months, I'm feeling productive like before.I recommend myco_ebby on insta,he is a certified mycologist and he’ll get you some xx",,,,,,"Hello! If you are facing anxiety, stammering, low confidence, memory, depression issues you can contact our nutrition experts",0,,3
0,,,,,,,,,1,,1
0,,,,,,,,,0,,1
0,,,,,,,,,0,,0
0,,,,,,,,"Dear Parents, If your child is facing speech delay, autism, aggression, stammering, you can contact our nutrition experts",0,,0
15,2023-12-13T15:17:43.000Z,No,,,2024-01-10T09:41:02.000Z,0,"My son is diagnosed with severe ADHD, ASD, autism and has defiant behaviors which are very unbearable. Someone directed me to myco_ebby on IG. Now my son has been on the full spectrum THC free cbd gummies for about two months. No side effects. He eats like a champ and even sleeps great, there’s been improved focus and the meltdowns barely happen. It's worked really well for him. He says he feels better when he's on his gummies than when he's not and they last well over 8 hours, just in time for the second dose. Before that, we had tried Vyvanse and Strattera with poor results and lots of side effects. We get it from myco_ebby on insta, it’s worth a shot.",Does the child with ADHD need a special school?,0,,1
0,,,,,,,,,1,,6
0,,,,,,,,Anybody else made the switch from Concerta to Mefedinel.,0,,1
1,2024-01-10T09:41:11.000Z,"My son is diagnosed with severe ADHD, ASD, autism and has defiant behaviors which are very unbearable. Someone directed me to myco_ebby on IG. Now my son has been on the full spectrum THC free cbd gummies for about two months. No side effects. He eats like a champ and even sleeps great, there’s been improved focus and the meltdowns barely happen. It's worked really well for him. He says he feels better when he's on his gummies than when he's not and they last well over 8 hours, just in time for the second dose. Before that, we had tried Vyvanse and Strattera with poor results and lots of side effects. We get it from myco_ebby on insta, it’s worth a shot.",,,,,,Hi all I just want to find out my son is 10 and was put on 27mg of concerta not sure if it is helping. Teachers are complaining he is not finishing his work in class what dosages are other 10 year old on,0,,1
1,2024-01-10T09:41:30.000Z,"My son is diagnosed with severe ADHD, ASD, autism and has defiant behaviors which are very unbearable. Someone directed me to myco_ebby on IG. Now my son has been on the full spectrum THC free cbd gummies for about two months. No side effects. He eats like a champ and even sleeps great, there’s been improved focus and the meltdowns barely happen. It's worked really well for him. He says he feels better when he's on his gummies than when he's not and they last well over 8 hours, just in time for the second dose. Before that, we had tried Vyvanse and Strattera with poor results and lots of side effects. We get it from myco_ebby on insta, it’s worth a shot.",,,,,,"Hello everyone I started this group many many years ago. I don’t have time to moderate this . Anyone keen on being admins let me know. 
It’s a real ADHD thing",0,,5
2,2023-08-23T18:13:14.000Z,Hi friends my child just diagnosed with ADHD,,,,,,"Hello Friends👋 I'm conducting research on adults with ADHD for my honours project in psychology. If you are an adult with ADHD, please consider filling in my questionnaire! 🙂

All responses are anonymous.

[https://www.cognitoforms.com/adhdsleep1/whatsyourchronotype](https://www.cognitoforms.com/adhdsleep1/whatsyourchronotype?fbclid=IwAR2CMOC-8awGpAVLqAe8yJeG_meZOpkztPdTFh2-W6qprSWRagip_ARoHwg)",0,,1
4,2023-08-18T18:22:05.000Z,GP is the starting point. You will then get the correct referral,,,2024-01-10T09:41:17.000Z,0,"My son is diagnosed with severe ADHD, ASD, autism and has defiant behaviors which are very unbearable. Someone directed me to myco_ebby on IG. Now my son has been on the full spectrum THC free cbd gummies for about two months. No side effects. He eats like a champ and even sleeps great, there’s been improved focus and the meltdowns barely happen. It's worked really well for him. He says he feels better when he's on his gummies than when he's not and they last well over 8 hours, just in time for the second dose. Before that, we had tried Vyvanse and Strattera with poor results and lots of side effects. We get it from myco_ebby on insta, it’s worth a shot.","Hi All! 

What’ll be the most affordable route of getting diagnosed as an adult? How does it work? How many sessions does one need & Does it really change anything if you do get diagnosed, if so - how, I mean is it really worth the time, effort and money?

After hours & hours of obsessively doing research it feels like I do tick some boxes.. I’ve been this way I am since I could remember and it feels so normal to me.. 

My worst traits are:
* I’m always late & miss deadlines and I hate it! Despite trying to plan accordingly.
* I procrastinate and leave everything to 99, get stressed and do a weeks worth of work in 1 evening.. obviously causing careless mistakes.
* I struggle to keep a set schedule
* Spaces out in conversations.
* I’m highly irritable and tend to react before I think..
* I always feel restless and on edge.
*  sleeping pattern, the norm is to sleep from 2am to 5:30/6:00am. 
* I’m easily distracted unless I’m stressed.
* Can’t stay committed to a hobby. 
* Annoyingly disorganised 
* Low selfesteem.
* excessive talker & fidgeting, but I don’t easily connect with people.
* Unnecessary overspending
*I’m very forgetful & I lose small things often
* struggle to stay motivated to do basic things.

Any and all advice will be highly appreciated!!🌻",0,,5
0,,,,,,,,,0,The Neurodivergent Support Store,0
0,,,,,,,,,0,This content isn't available right now,0
3,2023-10-18T17:50:53.000Z,Does this pens help children yo concentrate?,,,2023-11-03T08:28:32.000Z,0,No that’s just wrong,,0,,0
0,,,,,,,,,0,,0
0,,,,,,,,,0,,0
0,,,,,,,,,0,,0
0,,,,,,,,,0,,0
1,2023-12-24T23:00:28.000Z,Brahh that's the same thing I go through .I always get misunderstood and it invalidate my struggles a lot. I honestly don't know what to do anymore,,,,,,"Went to see a psychologist today. She disturbs my explanation by always saying ""everybody goes through that"" and she explains something so long that I end up zoning out while she's explaining. And I still leave feeling misunderstood. That's why I don't like going to psychologists. And I need help, as I'm not coping....  I feel so frustrated!!!

I need a psychologist or coach who specializes in adult Adhd.",0,,0
0,,,,,,,,Any school for a child with ADHD,0,,0
0,,,,,,,,"Iyurved is looking for distributors for its BRAIN BOOSTER product, which aids in speech delay, hyperactivity, memory, focus, attention, eye contact, aggression Etc. More than 100,000+ children have tried the product and have noticed positive benefits within 5-6 months of regular use. 
Additional information about the product can be found at: https://iyurved.com/products/kids-teens-brain-booster-chocolate-spread
For further questions, please call us or whatsapp us at 91-9740818202.",0,Kids and Teens Brain Booster Chocolate Spread,0
0,,,,,,,,"Hello everyone
I know the Journey of having kids with Adhd and having them in a normal everyday school 

My son’s life changed the moment when we decided to put him in a school that’s very caring and tolerate no bullying 
There’s only 10 children in a classrooms so everyone can get equal attention they also don’t require for the children to be on medication for me that’s brilliant 

From Grade 1 to 12 
GED International curriculum
Because our children are very Creative and intelligent 

There’s only 30 open spots
If you want to make a positive impact in your child’s life 

Palm Tempelton 
Gauteng Pretoria East

(012) 807-7444

+27 676991843

They also have a Facebook page
Aswell Instagram

Use Reference Code PTJ001

",0,Palm Tempelton VAK Centers | Inclusive Learning Center Pretoria,1
0,,,,,,,,"Sukkel jy met die volgende:

🧠 Konsentrasie 
🧠 Angstigheid
🧠 Fokus en nog meer??

Ons S.M.A.R.T Drops is 100% Natuurlik.  
- 18 maande tot 12 jaar
- 12 Jaar +
- 50 Jaar +

Ons produkte word landwyd gecourier. 
Vir enige vrae of meer informasie 

Kontak jy gerus ☎️067 204 1653☎️
https://wa.me/+27672041653

#SAICS #stress #smartdrops #Fokus #Konsentrasie
#agentswanted #PetruJens",0,,0
0,,,,,,,,"Hi everyone, this is quite a good read...

""ADHD 2.0: New Science and Essential Strategies for Thriving with Distraction - from Childhood Through Adulthood"" is a book written by Edward M. Hallowell, a psychiatrist and ADHD expert. In this book, Hallowell offers a comprehensive and up-to-date understanding of ADHD, including the latest research findings, and presents practical strategies for managing the condition across all stages of life. The book covers topics such as the symptoms and diagnosis of ADHD, the impact of ADHD on relationships, education, and work, and various treatment options, including medication, therapy, and lifestyle changes. The book also offers insights on how to harness the strengths of ADHD and thrive in a world that often sees it as a deficit. Overall, the book is a valuable resource for anyone living with ADHD, as well as for their loved ones and healthcare providers

[https://sites.google.com/view/quest-mindset/home](https://sites.google.com/view/quest-mindset/home)",0,,1
2,,,,,,,,Hi my daughter has ADHD and is really struggling to learn. Drill Sargent is not working and I don't know how else to help her learn. Is there anyone in the Eastrand Gauteng that can assist. In teaching the whole family how to learn. For us to support/assist her.,0,,0
0,,,,,,,,"The previous conference was great, big focus on ADHD/ Autism this year! And all online :)",0,Australian Conference for Neurodevelopmental Disorders,0
0,,,,,,,,"Likely the most famous autistic person in the world, Prof Temple Grandin, sharing some of her experiences and ideas during the Australian Conference on Neurodevelopmental Disorders Launch!",0,,0
1,2024-01-13T11:22:44.000Z,Mine do that also💔,,,,,,"My son (11) pulled out his lashes this week 💔😭
At first I just believed when he told me it bothered him and today he told by sister there was a baby spider that ran on his eye.

Had a few good cries and contemplate either praying it was a once off or searching help 😞

Is there anyone else whom had similar experience?",0,,3
0,,,,,,,,"Hi everyone! Not a spam post! As part of my final year research with Trinity College Dublin, we are doing research into the online communication of students with ADHD who participated in online learning during Covid. 

We want to know how students with ADHD communicated in the online educational environment and what problems they encountered, if any. 

I’m hoping to close the survey this week and am just doing a final push for participants!  Participation is anonymous and voluntary! The survey takes only 5 minutes to complete. There is no pressure to complete the survey I am just looking to gather more participants and consider a global perspective- including South Africa before I close the survey! 

Do you have ADHD? Did you experience online learning during Covid? 

If so, please fill out this short survey: 

https://tcdecon.qualtrics.com/jfe/form/SV_0Ch6ZOfeF340lQG?",0,,0
0,,,,,,,,https://m.facebook.com/story.php?story_fbid=381026160058357&id=100044529272247,0,,0
0,,,,,,,,"Understanding the reasons WHY concentration is an issue, makes it easier to address the problem.                                                                      At Brain Gain we use a unique test to provide you with answers.                                                      Call Brain Gain Centurion at 083 648 1207 for a simple, affordable solution.",0,,0
0,,,,,,,,Call Brain Gain Centurion at 083 648 1207 or visit our website at www.braingainworld.com to see how we can help you.,0,,0
0,,,,,,,,Call Brain Gain Centurion at 083 648 1207 or send an email to willemien@braingainworld.com to see how we can help you.,0,,0
0,,,,,,,,Visit our website at www.braingainworld.com or call Brain Gain Centurion to find out how we can help you.,0,,0
0,,,,,,,,,0,,0
0,,,,,,,,,0,,0
0,,,,,,,,,0,Homeschool Programming!,0
0,,,,,,,,,0,This is what it's really like to live with ADHD,0
0,,,,,,,,,0,This content isn't available at the moment,2
0,,,,,,,,,0,,0
0,,,,,,,,,0,Vaccines cause brain damage -- United States vs. Zeller,0
0,,,,,,,,,0,54 Percent of Children Suffer Disabilities Caused by Vaccination,0
0,,,,,,,,"I'd like to share something with you...
An exciting work called Radical Honesty (based on the book of the same title) is a revolutionary and compassionate communication method,cutting right through obsessive thinking to get grounded in the present moment...and it's coming to South Africa.
To learn more about it, please attend a FREE webinar on Thursday 22nd August at 8pm.

https://www.radicalhonesty.com/ https://www.exclusivebooks.co.za/product/9780970693846 
https://amzn.to/2yBzJjp",0,Radical Honesty,1
0,,,,,,,,,1,This content isn't available right now,0
0,,,,,,,,,0,Government Report: $160 Million Paid So Far in 2019 for Vaccine Injuries and Deaths,0
0,,,,,,,,,0,Internal Server Error,0
0,,,,,,,,,0,A Nation Where Half of the Children Become Autistic?,0
0,,,,,,,,https://youtu.be/GCtI4VTOtAc,0,SECRET INGREDIENTS,0
0,,,,,,,,,2,,0
4,2019-09-16T14:08:03.000Z,100% I am 34,,,2019-09-16T14:58:03.000Z,0,Yes I am ADHD and I am 50,Hi can grow up people also be ADHD,0,,1
3,2019-08-02T04:05:53.000Z,Pleasure,,,2019-08-02T04:06:09.000Z,0,Mind,Thanks for accepting.,0,,0
0,,,,,,,,Can we use this in SA?,2,,1
2,2019-03-13T09:36:34.000Z,💖,,,,,,,4,,3
0,,,,,,,,"Russell Barkley discussing the topics he will cover presenting at the Australian Conference of Neurodevelopmental Disorders in Tasmania, Australia (September 2019). For more information visit www.acnd.org.au",1,,2
0,,,,,,,,,1,,0
4,2019-08-24T18:40:45.000Z,Me,,,2019-09-01T06:29:18.000Z,1,"Good morning, thank you for for add. After reading this, I know that I'm right at home 🤣🤣🤣🤣","My ADHD brain...

Me: I fancy a cuppa
*Fills up kettle and turns on*
Brain: Why don't we wash some dishes whilst we're in the kitchen? 
*Starts washing dishes and forgets about kettle*
Half an hour later ...
Me: Wait a minute I was making a cuppa.
*Turns on kettle, gets out mug*
Brain: Don't forget to give the rabbits their food.
*Goes to feed rabbits*
Half an hour later ...
Me: Darn my cuppa!
*Turns on kettle, puts in teabag*
Brain: Whilst we're waiting let's go get that stuff out your bag*
Half an hour later ...
Me: FFS my cuppa! Brain you are not defeating me this time!!
*Puts on kettle and stares at it until boiled. FINALLY makes cuppa*
Me: Ahhh finally! Let's sit down and read my magazine with my cuppa.
Half an hour later ...
Me: *sigh* Cold tea it is then.

Who can relate",3,,6
0,,,,,,,,"Prof. Russell Barkley will visit Australia to present at the Australian Conference of Neurodevelopmental Disorders in Launceston, Tasmania. One of his big goals has always been to remove ADHD from the realm of moral judgement:",0,ADHD Moral Failing,3
0,,,,,,,,Prof Russell Barkley explaining how ADHD medication works:,0,,0
2,2019-01-07T21:27:29.000Z,Love this. Well written.,,,2023-12-09T18:58:12.000Z,0,😭😭,"17 Things Your ADHD Child Would Tell You if He Could

1) I'm trying way harder than you’ll ever know even though it doesn’t seem like it to you. I really, truly am.

2) Criticizing me or getting angry at me that my brain doesn’t work better doesn’t help me. It makes me hate myself even more.

3) I’m painfully aware of all the areas that I’m not measuring up. Instead of making a big deal about my shortcomings, try to find ways to help me.

4) An accommodation isn’t the same as enabling. If you help me where I’m genuinely struggling, I’m going to be grateful. Don’t assume that I’m manipulating you.

5) I’m not doing this to you; it’s not something I am doing on purpose.

6) If you think it’s hard to live with me, imagine trying to live inside a body that won’t do what you want it to do.

7) My brain doesn’t work right but I don’t know how to tell you that. It makes me angry and unkind, but I’m not trying to be that way.

8) When I’m being horrible, what I really need is for you to tell me you’ll love me no matter what. And maybe hug me, too. I probably believe that I’m unlovable, so prove me wrong.

9) I know that my lack of motivation is frustrating, but pushing harder doesn’t help me do better.

10) My anger and frustration is a result of my brain not processing properly. When I’m overwhelmed and freaking out, don’t escalate by freaking out or getting angry too. I need you to be calm and show me that everything’s going to be fine even when I feel like it’s not.

11) If I get overwhelmed, don’t expect me to sort out the problem all by myself. The part of my brain the controls regulation doesn’t work properly. That’s why I need your help to regulate.

12) Don’t try to break me of things that you see as weaknesses. My sensitivity as a child means I’ll be compassionate as an adult. My stubbornness as a child means I’ll be independent and assertive as an adult. Instead of squashing these characteristics, channel them toward something good that can benefit me when I’m older. Don’t view me as something that needs fixed or toughened-up.

13) Don’t be afraid of labeling me. A label gives me answers and help. If my condition is serious enough to need to be diagnosed, you can guarantee that I’ve noticed something’s wrong and I’m wondering why I’m different too. Unless you tell me what’s going on, I’m likely to grow up angry and confused about why everyone has it all together and I don’t. A label means I can get help; it gives me answers and vindication.

14) I have a real, actual medical condition in my brain. It’s just as real as if I had Type 1 Diabetes. Just like Diabetes, I need help to deal with the condition. No one tells someone with Type 1 Diabetes that they are lazy if they’re tired because their blood sugar is low. They understand that it’s part of the condition. Please, please, please learn about my condition, and don’t blame me for things that are out of my control. Just like leaving Type 1 Diabetes untreated results in serious complications and even death, untreated ADHD can lead to serious complications –potentially including death. Thankfully, there are many ways to treat ADHD (and medication isn’t the only way).

15) My frontal lobe is developing 30% behind normal. Please understand this and don’t put me in situations I’m not ready to handle. If you give me responsibility that’s beyond my developmental age, don’t be angry with me that I do poorly. That’s setting me up for failure, and that’s just cruel.

16) Stop expecting me to be normal. I can’t be. Not for all my trying. Until you accept that, I’ll always be a failure in your eyes, and I’ll always view myself as not good enough.

17) You have the power to make me miserable by how you treat me. Remember to treat me with love and grace. Treat me how you would want to be treated if you were struggling with a problem in your brain. I may make myself miserable sometimes, but don’t add to that by treating me poorly. When in doubt, be kind. Believe me, I need your kindness.",8,,7
0,,,,,,,,"Mistakes: why they are good and how they work as part of our humanness, as growth and as learning.",0,Why Understanding These Four Types of Mistakes Can Help Us Learn,1
0,,,,,,,,,0,,2
1,2018-02-21T11:24:44.000Z,More info pls,,,,,,There is no better time than right now to start preparing for your matric year ahead! Leave your email address for more info!,0,,3
